"Race","Count"
"Asian",13
"White, hispanic",3
"Black",15
"White",136
"Hispanic",11
"Black,Hispanic",2
"Asian, White",1
"Native",1
"Prefer not to say",2
"White, Native",3
"Asian, Black",1
"White, Pacific",1
